Tr-loss,Val-loss,b-mean,b-median,b-tri-mean,b-b25,b-wst25,b-wst,b-bst,mean,median,trimean,bst25,wst25,wst95,bst
63.13966369628906,60.957427978515625,60.957427978515625,60.89878845214844,61.02970504760742,60.882720947265625,61.54278564453125,61.64704895019531,59.92005920410156,60.957427978515625,60.89878845214844,61.02970504760742,60.882720947265625,61.54278564453125,61.64704895019531,59.92005920410156
59.70976130167643,0,60.957427978515625,60.89878845214844,61.02970504760742,60.882720947265625,61.54278564453125,61.64704895019531,59.92005920410156,60.957427978515625,60.89878845214844,61.02970504760742,60.882720947265625,61.54278564453125,61.64704895019531,59.92005920410156
55.23221418592665,51.60583648681641,51.60583648681641,51.54723358154297,51.6813850402832,51.525146484375,52.212135314941406,52.31834411621094,50.53253173828125,51.60583648681641,51.54723358154297,51.6813850402832,51.525146484375,52.212135314941406,52.31834411621094,50.53253173828125
48.81855816311307,0,51.60583648681641,51.54723358154297,51.6813850402832,51.525146484375,52.212135314941406,52.31834411621094,50.53253173828125,51.60583648681641,51.54723358154297,51.6813850402832,51.525146484375,52.212135314941406,52.31834411621094,50.53253173828125
39.4440540737576,32.25581665039063,32.25581665039063,32.21213912963867,32.34107971191406,32.11878204345703,32.91291427612305,33.00457000732422,31.122333526611328,32.25581665039063,32.21213912963867,32.34107971191406,32.11878204345703,32.91291427612305,33.00457000732422,31.122333526611328
26.559552934434677,0,32.25581665039063,32.21213912963867,32.34107971191406,32.11878204345703,32.91291427612305,33.00457000732422,31.122333526611328,32.25581665039063,32.21213912963867,32.34107971191406,32.11878204345703,32.91291427612305,33.00457000732422,31.122333526611328
16.789909468756782,14.996397590637207,14.996397590637207,15.119369506835938,15.040438652038574,14.588735580444336,15.469928741455078,15.60557746887207,14.334025382995605,14.996397590637207,15.119369506835938,15.040438652038574,14.588735580444336,15.469928741455078,15.60557746887207,14.334025382995605
13.464183383517796,0,14.996397590637207,15.119369506835938,15.040438652038574,14.588735580444336,15.469928741455078,15.60557746887207,14.334025382995605,14.996397590637207,15.119369506835938,15.040438652038574,14.588735580444336,15.469928741455078,15.60557746887207,14.334025382995605
8.587101300557455,6.469419956207275,6.469419956207275,6.683421611785889,6.741988897323608,6.438111305236816,7.230758190155029,7.298515319824219,4.764050483703613,6.469419956207275,6.683421611785889,6.741988897323608,6.438111305236816,7.230758190155029,7.298515319824219,4.764050483703613
6.12478764851888,0,6.469419956207275,6.683421611785889,6.741988897323608,6.438111305236816,7.230758190155029,7.298515319824219,4.764050483703613,6.469419956207275,6.683421611785889,6.741988897323608,6.438111305236816,7.230758190155029,7.298515319824219,4.764050483703613
